,theta,phi,lam,p0_0,p1_0,p0_1,p1_1,depol_prob,t1,t2,population,E
138,0.0,6.283185307179586,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,190000.0,33928.57142857143,1.0,0.05908203125
139,0.0,6.283185307179586,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.001,190000.0,33928.57142857143,1.0,0.067138671875
140,0.0,6.283185307179586,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,190000.0,292307.6923076923,0.0,0.05419921875
141,0.0,6.283185307179586,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.001,190000.0,292307.6923076923,0.0,0.0576171875
142,0.0,6.283185307179586,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,190000.0,292307.6923076923,1.0,0.0576171875
143,0.0,6.283185307179586,0.0,0.94,0.06000000000000005,0.06000000000000005,0.94,0.001,190000.0,292307.6923076923,1.0,0.050537109375
144,0.0,6.283185307179586,0.0,0.94,0.06000000000000005,0.0,1.0,0.0,34000.0,6071.428571428572,0.0,0.0556640625
145,0.0,6.283185307179586,0.0,0.94,0.06000000000000005,0.0,1.0,0.001,34000.0,6071.428571428572,0.0,0.058349609375
146,0.0,6.283185307179586,0.0,0.94,0.06000000000000005,0.0,1.0,0.0,34000.0,6071.428571428572,1.0,0.062744140625
147,0.0,6.283185307179586,0.0,0.94,0.06000000000000005,0.0,1.0,0.001,34000.0,6071.428571428572,1.0,0.05712890625
148,0.0,6.283185307179586,0.0,0.94,0.06000000000000005,0.0,1.0,0.0,34000.0,52307.692307692305,0.0,0.061767578125
149,0.0,6.283185307179586,0.0,0.94,0.06000000000000005,0.0,1.0,0.001,34000.0,52307.692307692305,0.0,0.0634765625
150,0.0,6.283185307179586,0.0,0.94,0.06000000000000005,0.0,1.0,0.0,34000.0,52307.692307692305,1.0,0.056640625
151,0.0,6.283185307179586,0.0,0.94,0.06000000000000005,0.0,1.0,0.001,34000.0,52307.692307692305,1.0,0.06103515625
152,0.0,6.283185307179586,0.0,0.94,0.06000000000000005,0.0,1.0,0.0,190000.0,33928.57142857143,0.0,0.05859375
153,0.0,6.283185307179586,0.0,0.94,0.06000000000000005,0.0,1.0,0.001,190000.0,33928.57142857143,0.0,0.06005859375
154,0.0,6.283185307179586,0.0,0.94,0.06000000000000005,0.0,1.0,0.0,190000.0,33928.57142857143,1.0,0.0673828125
155,0.0,6.283185307179586,0.0,0.94,0.06000000000000005,0.0,1.0,0.001,190000.0,33928.57142857143,1.0,0.05615234375
156,0.0,6.283185307179586,0.0,0.94,0.06000000000000005,0.0,1.0,0.0,190000.0,292307.6923076923,0.0,0.0556640625
157,0.0,6.283185307179586,0.0,0.94,0.06000000000000005,0.0,1.0,0.001,190000.0,292307.6923076923,0.0,0.061767578125
158,0.0,6.283185307179586,0.0,0.94,0.06000000000000005,0.0,1.0,0.0,190000.0,292307.6923076923,1.0,0.059326171875
159,0.0,6.283185307179586,0.0,0.94,0.06000000000000005,0.0,1.0,0.001,190000.0,292307.6923076923,1.0,0.06298828125
160,0.0,6.283185307179586,0.0,1.0,0.0,0.06000000000000005,0.94,0.0,34000.0,6071.428571428572,0.0,0.0
161,0.0,6.283185307179586,0.0,1.0,0.0,0.06000000000000005,0.94,0.001,34000.0,6071.428571428572,0.0,0.0
162,0.0,6.283185307179586,0.0,1.0,0.0,0.06000000000000005,0.94,0.0,34000.0,6071.428571428572,1.0,0.0
163,0.0,6.283185307179586,0.0,1.0,0.0,0.06000000000000005,0.94,0.001,34000.0,6071.428571428572,1.0,0.0
164,0.0,6.283185307179586,0.0,1.0,0.0,0.06000000000000005,0.94,0.0,34000.0,52307.692307692305,0.0,0.0
165,0.0,6.283185307179586,0.0,1.0,0.0,0.06000000000000005,0.94,0.001,34000.0,52307.692307692305,0.0,0.0
166,0.0,6.283185307179586,0.0,1.0,0.0,0.06000000000000005,0.94,0.0,34000.0,52307.692307692305,1.0,0.0
167,0.0,6.283185307179586,0.0,1.0,0.0,0.06000000000000005,0.94,0.001,34000.0,52307.692307692305,1.0,0.0
168,0.0,6.283185307179586,0.0,1.0,0.0,0.06000000000000005,0.94,0.0,190000.0,33928.57142857143,0.0,0.0
169,0.0,6.283185307179586,0.0,1.0,0.0,0.06000000000000005,0.94,0.001,190000.0,33928.57142857143,0.0,0.0
170,0.0,6.283185307179586,0.0,1.0,0.0,0.06000000000000005,0.94,0.0,190000.0,33928.57142857143,1.0,0.0
171,0.0,6.283185307179586,0.0,1.0,0.0,0.06000000000000005,0.94,0.001,190000.0,33928.57142857143,1.0,0.0
172,0.0,6.283185307179586,0.0,1.0,0.0,0.06000000000000005,0.94,0.0,190000.0,292307.6923076923,0.0,0.0
173,0.0,6.283185307179586,0.0,1.0,0.0,0.06000000000000005,0.94,0.001,190000.0,292307.6923076923,0.0,0.0
174,0.0,6.283185307179586,0.0,1.0,0.0,0.06000000000000005,0.94,0.0,190000.0,292307.6923076923,1.0,0.0
175,0.0,6.283185307179586,0.0,1.0,0.0,0.06000000000000005,0.94,0.001,190000.0,292307.6923076923,1.0,0.0
176,0.0,6.283185307179586,0.0,1.0,0.0,0.0,1.0,0.0,34000.0,6071.428571428572,0.0,0.0
177,0.0,6.283185307179586,0.0,1.0,0.0,0.0,1.0,0.001,34000.0,6071.428571428572,0.0,0.0
178,0.0,6.283185307179586,0.0,1.0,0.0,0.0,1.0,0.0,34000.0,6071.428571428572,1.0,0.0
179,0.0,6.283185307179586,0.0,1.0,0.0,0.0,1.0,0.001,34000.0,6071.428571428572,1.0,0.0
180,0.0,6.283185307179586,0.0,1.0,0.0,0.0,1.0,0.0,34000.0,52307.692307692305,0.0,0.0
181,0.0,6.283185307179586,0.0,1.0,0.0,0.0,1.0,0.001,34000.0,52307.692307692305,0.0,0.0
182,0.0,6.283185307179586,0.0,1.0,0.0,0.0,1.0,0.0,34000.0,52307.692307692305,1.0,0.0
183,0.0,6.283185307179586,0.0,1.0,0.0,0.0,1.0,0.001,34000.0,52307.692307692305,1.0,0.0
184,0.0,6.283185307179586,0.0,1.0,0.0,0.0,1.0,0.0,190000.0,33928.57142857143,0.0,0.0
185,0.0,6.283185307179586,0.0,1.0,0.0,0.0,1.0,0.001,190000.0,33928.57142857143,0.0,0.0
186,0.0,6.283185307179586,0.0,1.0,0.0,0.0,1.0,0.0,190000.0,33928.57142857143,1.0,0.0
187,0.0,6.283185307179586,0.0,1.0,0.0,0.0,1.0,0.001,190000.0,33928.57142857143,1.0,0.0
188,0.0,6.283185307179586,0.0,1.0,0.0,0.0,1.0,0.0,190000.0,292307.6923076923,0.0,0.0
189,0.0,6.283185307179586,0.0,1.0,0.0,0.0,1.0,0.001,190000.0,292307.6923076923,0.0,0.0
190,0.0,6.283185307179586,0.0,1.0,0.0,0.0,1.0,0.0,190000.0,292307.6923076923,1.0,0.0
191,0.0,6.283185307179586,0.0,1.0,0.0,0.0,1.0,0.001,190000.0,292307.6923076923,1.0,0.0
192,0.0,6.283185307179586,6.283185307179586,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,34000.0,6071.428571428572,0.0,0.056884765625
193,0.0,6.283185307179586,6.283185307179586,0.94,0.06000000000000005,0.06000000000000005,0.94,0.001,34000.0,6071.428571428572,0.0,0.060791015625
194,0.0,6.283185307179586,6.283185307179586,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,34000.0,6071.428571428572,1.0,0.061279296875
195,0.0,6.283185307179586,6.283185307179586,0.94,0.06000000000000005,0.06000000000000005,0.94,0.001,34000.0,6071.428571428572,1.0,0.05517578125
196,0.0,6.283185307179586,6.283185307179586,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,34000.0,52307.692307692305,0.0,0.060791015625
197,0.0,6.283185307179586,6.283185307179586,0.94,0.06000000000000005,0.06000000000000005,0.94,0.001,34000.0,52307.692307692305,0.0,0.059814453125
198,0.0,6.283185307179586,6.283185307179586,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,34000.0,52307.692307692305,1.0,0.058349609375
199,0.0,6.283185307179586,6.283185307179586,0.94,0.06000000000000005,0.06000000000000005,0.94,0.001,34000.0,52307.692307692305,1.0,0.06005859375
200,0.0,6.283185307179586,6.283185307179586,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,190000.0,33928.57142857143,0.0,0.056396484375
201,0.0,6.283185307179586,6.283185307179586,0.94,0.06000000000000005,0.06000000000000005,0.94,0.001,190000.0,33928.57142857143,0.0,0.057861328125
202,0.0,6.283185307179586,6.283185307179586,0.94,0.06000000000000005,0.06000000000000005,0.94,0.0,190000.0,33928.57142857143,1.0,0.056884765625
203,0.0,6.283185307179586,6.283185307179586,0.94,0.06000000000000005,0.06000000000000005,0.94,0.001,190000.0,33928.57142857143,1.0,0.0556640625
