backend,qubit,datetime,name,units,value,log_datetime
ibmq_16_melbourne,6,2020-10-11T09:53:48+00:00,id_length,ns,142.22222222222223,2020-10-12T10:43:28.999536
ibmq_16_melbourne,7,2020-10-11T04:30:01+00:00,T1,us,44.40055364364949,2020-10-12T10:43:28.999536
ibmq_16_melbourne,7,2020-10-11T04:31:20+00:00,T2,us,14.545505948826841,2020-10-12T10:43:28.999536
ibmq_16_melbourne,7,2020-10-11T09:53:48+00:00,frequency,GHz,4.982617020793605,2020-10-12T10:43:28.999536
ibmq_16_melbourne,7,2020-10-11T09:53:48+00:00,anharmonicity,GHz,0,2020-10-12T10:43:28.999536
ibmq_16_melbourne,7,2020-10-11T04:29:24+00:00,readout_error,,0.04420000000000002,2020-10-12T10:43:28.999536
ibmq_16_melbourne,7,2020-10-11T04:29:24+00:00,prob_meas0_prep1,,0.07940000000000003,2020-10-12T10:43:28.999536
ibmq_16_melbourne,7,2020-10-11T04:29:24+00:00,prob_meas1_prep0,,0.009,2020-10-12T10:43:28.999536
ibmq_16_melbourne,7,2020-10-11T09:53:48+00:00,id_length,ns,142.22222222222223,2020-10-12T10:43:28.999536
ibmq_16_melbourne,8,2020-10-11T04:30:01+00:00,T1,us,89.53423179292167,2020-10-12T10:43:28.999536
ibmq_16_melbourne,8,2020-10-11T04:32:25+00:00,T2,us,119.68229410250751,2020-10-12T10:43:28.999536
ibmq_16_melbourne,8,2020-10-11T09:53:48+00:00,frequency,GHz,4.751548138488408,2020-10-12T10:43:28.999536
ibmq_16_melbourne,8,2020-10-11T09:53:48+00:00,anharmonicity,GHz,0,2020-10-12T10:43:28.999536
ibmq_16_melbourne,8,2020-10-11T04:29:24+00:00,readout_error,,0.0693999999999999,2020-10-12T10:43:28.999536
ibmq_16_melbourne,8,2020-10-11T04:29:24+00:00,prob_meas0_prep1,,0.10819999999999996,2020-10-12T10:43:28.999536
ibmq_16_melbourne,8,2020-10-11T04:29:24+00:00,prob_meas1_prep0,,0.0306,2020-10-12T10:43:28.999536
ibmq_16_melbourne,8,2020-10-11T09:53:48+00:00,id_length,ns,53.33333333333333,2020-10-12T10:43:28.999536
ibmq_16_melbourne,9,2020-10-11T04:30:01+00:00,T1,us,46.05075034921179,2020-10-12T10:43:28.999536
ibmq_16_melbourne,9,2020-10-11T04:31:20+00:00,T2,us,81.00331228389383,2020-10-12T10:43:28.999536
ibmq_16_melbourne,9,2020-10-11T09:53:48+00:00,frequency,GHz,4.973450487752329,2020-10-12T10:43:28.999536
ibmq_16_melbourne,9,2020-10-11T09:53:48+00:00,anharmonicity,GHz,0,2020-10-12T10:43:28.999536
ibmq_16_melbourne,9,2020-10-11T04:29:24+00:00,readout_error,,0.059599999999999986,2020-10-12T10:43:28.999536
ibmq_16_melbourne,9,2020-10-11T04:29:24+00:00,prob_meas0_prep1,,0.077,2020-10-12T10:43:28.999536
